"instance","published_value","published_precision","published_lower_bound","exported_coordinate_distance","exported_coordinates_valid","maximum_rounding_repair","repaired_distance","repaired_valid","reference_order_socp","reference_order_socp_valid","hybrid_best","hybrid_minus_reference_order_socp","hybrid_improvement_percent","comparison_at_published_precision"
"bonus1000.txt","384.365","3","384.3645","384.364697696","false","5.70796E-05","384.3652298183","true","384.3649184662288","true","376.6677889355","-7.697129530728773","2.0025577676140234","improvement"
"bonus1000rdmRad.txt","917.61","2","917.605","917.6105657131","false","6.35547E-05","917.6121829655","true","917.6121749999379","true","916.8484396076","-0.7637353923379351","0.08323073877457944","improvement"
"bubbles1.txt","349.135","3","349.1345","349.1334276808","false","0.000374243","349.1349155838","true","349.1349150502462","true","349.1348891707","-2.587954622867983E-05","7.412477272562482E-06","tie"
"bubbles2.txt","428.279","3","428.2785","428.2796979313","false","0.0001386995","428.2799238541","true","428.2799232747984","true","428.279256281","-0.0006669937984042917","0.0001557378158901758","tie"
"bubbles3.txt","529.955","3","529.9545","529.9551981366","false","0.0004085997","529.9555990049","true","529.9555864853576","true","529.9547583644","-0.0008281209575216053","0.00015626233190854115","tie"
"bubbles4.txt","802.974","3","802.9735000000001","802.9770796061","false","0.0003580436","802.9790959699","true","802.9790940090911","true","804.7206722406","1.7415782315089245","-0.21688961076354085","loss"
"bubbles5.txt","1035.32","2","1035.3149999999998","1035.3190450997","false","0.0001799984","1035.3194779275","true","1035.3194760299682","true","1035.8843007288","0.5648246988318988","-0.054555594858291784","loss"
"bubbles6.txt","1220.07","2","1220.0649999999998","1220.0742904448","false","0.0002841665","1220.0752543129","true","1220.075247876995","true","1221.5653439128","1.4900960358049815","-0.12213148643068032","loss"
"bubbles7.txt","1575.04","2","1575.0349999999999","1575.03539592","false","0.0006144311","1575.0413101931","true","1575.0408930192395","true","1623.8890801667","48.84818714746052","-3.1013916758581472","loss"
"bubbles8.txt","1881.93","2","1881.925","1881.9333716839","false","0.0004649892","1881.9361422778","true","1881.9361259257037","true","1884.1335889453","2.1974630195963982","-0.11676607879109023","loss"
"bubbles9.txt","2148.4","1","2148.35","2148.4010943078","false","0.0003361943","2148.4030403953","true","2148.2340003167715","true","2149.3414380165","1.1074376997285071","-0.05155107402476677","loss"
"chaoSingleDep.txt","1039.61","2","1039.6049999999998","1039.6116644096","false","0.0005607686","1039.6157965046","true","1039.6148144299978","true","1039.6108911803","-0.003923249697663778","0.0003773753166277094","tie"
"concentricCircles1.txt","53.158","3","53.1575","53.1576633362","false","0.0003416388","53.1583026795","true","53.1583026794701","true","53.15799619","-0.00030648947009837","0.0005765599250721322","tie"
"concentricCircles2.txt","153.132","3","153.13150000000002","153.1298512489","false","0.0004074571","153.133177211","true","153.1330077263253","true","153.1322829758","-0.000724750525307627","0.00047328171507143597","tie"
"concentricCircles3.txt","270.007","3","270.0065","270.008881358","false","0.0004681828","270.0112451754","true","270.01123846753734","true","270.0133376046","0.002099137062657519","-0.0007774258118185299","loss"
"concentricCircles4.txt","451.87","2","451.865","451.8698932593","false","0.0005377586","451.8756264175","true","451.87562574604556","true","452.0817842345","0.20615848845443452","-0.04562283883182842","loss"
"concentricCircles5.txt","632.977","3","632.9765","632.9817853941","false","0.0005068552","632.9860959658","true","632.9860920915302","true","633.050758903","0.06466681146980591","-0.010216150445917704","loss"
"d493_or10.txt","100.721","3","100.7205","100.7208041967","true","0","100.7208041967","true","100.72065967873624","true","100.7202987593","-0.00036091943624683154","0.00035833704564489414","improvement"
"d493_or2.txt","199.015","3","199.0145","199.0150254123","true","0","199.0150254123","true","199.01501050180917","true","198.9862274447","-0.028783057109166066","0.014462756872755791","improvement"
"d493_or30.txt","69.7577","4","69.75765","69.7577979466","false","2.847E-07","69.7577980967","true","69.7576979491014","true","69.7576262011","-7.174800140319348E-05","0.00010285316676525694","improvement"
"d493rdmRad.txt","134.226","3","134.2255","134.2262902085","false","4.93065E-05","134.2269144134","true","134.22691437710213","true","134.2263577076","-0.0005566695021457235","0.00041472271394229874","tie"
"dsj1000_or10.txt","373.759","3","373.7585","373.7596028337","false","2.571E-07","373.7596028403","true","373.7595643707984","true","373.7589040143","-0.0006603564983720389","0.00017667949166296496","tie"
"dsj1000_or2.txt","909.502","3","909.5015","909.5017404724","false","2.399E-07","909.5017408521","true","909.4894809831244","true","909.7959427384","0.3064617552755635","-0.0336960197653182","loss"
"dsj1000_or30.txt","199.948","3","199.94750000000002","199.9480357301","true","0","199.9480357301","true","199.94801836670771","true","199.9479600093","-5.835740770976372E-05","2.918628960990018E-05","tie"
"dsj1000rdmRad.txt","624.604","3","624.6035","624.6037359372","false","0.0004298018","624.6063273048","true","624.6063237701936","true","624.6042690115","-0.002054758693589065","0.00032896860236481624","tie"
"kroD100_or10.txt","89.6679","4","89.66785","89.667851393","true","0","89.667851393","true","89.66785132757961","true","89.6676611892","-0.00019013837960812907","0.0002120474359461396","improvement"
"kroD100_or2.txt","159.037","3","159.03650000000002","159.0368628742","true","0","159.0368628742","true","159.03686053582302","true","159.0338341181","-0.0030264177230208134","0.0019029662135081654","improvement"
"kroD100_or30.txt","58.5412","4","58.54115","58.5411974798","true","0","58.5411974798","true","58.541196490000544","true","58.5411231363","-7.335370054306622E-05","0.00012530270124491873","improvement"
"kroD100rdmRad.txt","141.829","3","141.82850000000002","141.8286885001","false","4.4828E-05","141.8290184977","true","141.82901800595712","true","141.8288733018","-0.0001447041571225327","0.00010202718678941627","tie"
"lin318_or10.txt","1394.63","2","1394.625","1394.625961343","true","0","1394.625961343","true","1394.6259365845394","true","1394.6173972208","-0.008539363739373584","0.0006123049568608067","improvement"
"lin318_or2.txt","2816.58","2","2816.575","2816.5862299539","false","2.156E-07","2816.5862301932","true","2816.5861808430773","true","2817.0202800565","0.43409921342254165","-0.015412246796318673","loss"
"lin318_or30.txt","765.964","3","765.9635000000001","765.9643966824","false","4.979E-07","765.9643974306","true","765.96439140854","true","765.963924954","-0.00046645453994642594","6.0897679471581935E-05","tie"
"lin318rdmRad.txt","2047.11","2","2047.1049999999998","2047.1053307634","false","0.0005515387","2047.110121337","true","2047.1101201056092","true","2047.1064694185","-0.003650687109256978","0.0001783336945776342","tie"
"pcb442_or10.txt","142.573","3","142.57250000000002","142.5725414276","true","0","142.5725414276","true","142.57253852691758","true","142.5922097571","0.01967123018241068","-0.013797348623835276","loss"
"pcb442_or2.txt","319.846","3","319.8455","319.8459492162","false","8.31E-08","319.8459492417","true","319.8459483376469","true","319.6596063946","-0.186341943046898","0.05825990418680722","improvement"
"pcb442_or30.txt","83.5373","4","83.53725","83.5373943417","false","1.285E-07","83.5373944577","true","83.53737923395884","true","83.537229517","-0.00014971695884469227","0.00017922151762193506","improvement"
"pcb442rdmRad.txt","219.219","3","219.2185","219.2186156471","false","5.91233E-05","219.2191490169","true","219.21914889755743","true","219.2188301188","-0.0003187787574177037","0.00014541556201674293","tie"
"rat195_or10.txt","67.9909","4","67.99085","67.990956176","true","0","67.990956176","true","67.99095596773952","true","67.9908208434","-0.00013512433952200809","0.00019873869634385216","improvement"
"rat195_or2.txt","157.97","2","157.965","157.9693588235","false","4.415E-07","157.9693592982","true","157.9693584030237","true","157.8650083009","-0.10435010212370344","0.06605717917615221","improvement"
"rat195_or30.txt","45.7017","4","45.70165","45.7016600804","false","2.962E-07","45.7016605733","true","45.70166051077021","true","45.7016415973","-1.891347021398815E-05","4.138464555249789E-05","improvement"
"rat195rdmRad.txt","68.224","3","68.2235","68.223967173","false","2.65935E-05","68.2240264648","true","68.22402646481599","true","68.2240033373","-2.312751598765317E-05","3.3899371212838526E-05","tie"
"rd400_or10.txt","452.826","3","452.82550000000003","452.8260647047","true","0","452.8260647047","true","452.8260640307134","true","448.4552092709","-4.370854759813369","0.9652392181022759","improvement"
"rd400_or2.txt","1018.46","2","1018.455","1018.463569548","false","3.638E-07","1018.4635699272","true","1018.4635580933135","true","1018.4643163458","0.0007582524864346851","-7.445062520000472E-05","tie"
"rd400_or30.txt","224.839","3","224.8385","224.8386461849","false","3.3E-07","224.8386466767","true","224.838643856108","true","224.8385966202","-4.723590799926569E-05","2.100880310837299E-05","tie"
"rd400rdmRad.txt","1238.28","2","1238.2749999999999","1238.2762900754","false","6.56195E-05","1238.2801750221","true","1238.2801716776942","true","1238.0142374135","-0.26593426419412936","0.021476098081569545","improvement"
"rotatingDiamonds1.txt","32.389","3","32.3885","32.388090525","false","0.0004412013","32.3890539009","true","32.38905372796872","true","32.3890296232","-2.410476871972378E-05","7.442257783193195E-05","tie"
"rotatingDiamonds2.txt","140.477","3","140.47650000000002","140.4778388648","false","0.0003295753","140.4785382562","true","140.47853809236943","true","140.4774093569","-0.0011287354694218266","0.0008034931774985048","tie"
"rotatingDiamonds3.txt","380.882","3","380.8815","380.8827930482","false","0.0004804423","380.8845238621","true","380.88450397710426","true","380.8824342848","-0.002069692304246473","0.0005433910496844173","tie"
"rotatingDiamonds4.txt","770.661","3","770.6605","770.6620130009","false","0.0004584475","770.6634179821","true","770.6632322441669","true","770.66064184","-0.002590404166880944","0.0003361266060841779","tie"
"rotatingDiamonds5.txt","1510.75","2","1510.745","1510.7495862293","false","0.0004824418","1510.7528184931","true","1510.7528170633334","true","1510.7489448114","-0.003872251933444204","0.0002563127395632632","tie"
"team1_100.txt","307.337","3","307.3365","307.3370104121","false","3.81355E-05","307.3370627916","true","307.3370626155038","true","307.3368694656","-0.0001931499037937101","6.284627768286822E-05","tie"
"team1_100rdmRad.txt","388.537","3","388.5365","388.5366688076","false","4.87052E-05","388.5370014179","true","388.5370006965386","true","388.53687565","-0.00012504653858513848","3.2183946023407004E-05","tie"
"team2_200.txt","246.683","3","246.6825","246.6829385423","false","3.88788E-05","246.683054758","true","246.6830544401309","true","246.6829835083","-7.093183089068589E-05","2.8754237315437812E-05","tie"
"team2_200rdmRad.txt","613.659","3","613.6585","613.6591261391","false","7.27505E-05","613.6599870454","true","613.6599846601144","true","613.6594811857","-0.0005034744144722936","8.204452417590028E-05","tie"
"team3_300.txt","461.889","3","461.8885","461.8888481105","false","4.91891E-05","461.8890788317","true","461.88907747118554","true","461.888592664","-0.00048480718555765634","0.00010496182074968","tie"
"team3_300rdmRad.txt","378.087","3","378.0865","378.0870445462","false","4.67925E-05","378.0873000858","true","378.0873000561035","true","378.0871423215","-0.00015773460353329938","4.1719095962729636E-05","tie"
"team4_400.txt","669.91","2","669.905","669.9100891328","false","4.90288E-05","669.9107590755","true","669.9092015780705","true","668.8485747089","-1.0606268691705054","0.15832397385676172","improvement"
"team4_400rdmRad.txt","984.24","2","984.235","984.2396799225","false","7.3078E-05","984.2418597568","true","984.2418536791436","true","984.3209856342","0.07913195505648218","-0.008039889256962921","loss"
"team5_499.txt","693.798","3","693.7975","693.7977279727","false","6.2499E-05","693.7993681245","true","693.7992543652992","true","694.2729578065","0.4737034412007688","-0.06827672964770216","loss"
"team5_499rdmRad.txt","446.191","3","446.1905","446.1910333903","false","5.25503E-05","446.1914195109","true","446.19141951089046","true","446.1911866698","-0.0002328410904510747","5.218412552762943E-05","tie"
"team6_500.txt","225.216","3","225.21550000000002","225.2159809751","false","3.76851E-05","225.2161014594","true","225.21609657865162","true","225.2160045838","-9.199485162980636E-05","4.084736971616913E-05","tie"
"team6_500rdmRad.txt","620.886","3","620.8855","620.8857950821","false","5.51212E-05","620.8864717271","true","620.886471452176","true","620.8858587186","-0.0006127335759629204","9.868689432543329E-05","tie"
