"instance","run","seed","repetitions","pool_size","iterations","patience","initial_patience","generated_best","ma_cetsp","final","lei_hao","improvement_vs_lei_hao_percent","seed_ms","ma_ms","socp_ms","ma_best_time","ma_total_time","ma_valid","final_valid"
"bonus1000rdmRad.txt","11","123456799","1000","20","5000","500","1500","936.7854929044","918.9245073952","918.924507395","917.61","-0.14325338597007053","44280","1154468","1903","969.940867","1154.23","true","true"
"bonus1000rdmRad.txt","12","123456800","1000","20","5000","500","1500","936.7854929044","918.4432656735","918.4432656733","917.61","-0.09080825985984611","43598","1212580","1754","1026.913581","1212.34","true","true"
"bonus1000rdmRad.txt","13","123456801","1000","20","5000","500","1500","936.7854929044","917.7267132688","917.7267132687","917.61","-0.012719267303100676","44714","909509","1913","712.033784","909.317","true","true"
"bonus1000rdmRad.txt","14","123456802","1000","20","5000","500","1500","936.7854929044","918.9354777982","918.9354777977","917.61","-0.14444892685344887","45282","862172","1820","661.565123","861.978","true","true"
"bonus1000rdmRad.txt","15","123456803","1000","20","5000","500","1500","936.7854929044","920.3812527423","920.3812515","917.61","-0.30200755222806513","44601","1060288","2748","863.056438","1060.06","true","true"
"bonus1000rdmRad.txt","16","123456804","1000","20","5000","500","1500","936.7854929044","917.7768959774","917.7768959774","917.61","-0.01818811667266392","44510","1036376","2188","844.01931","1036.15","true","true"
"bonus1000rdmRad.txt","17","123456805","1000","20","5000","500","1500","936.7854929044","916.8484396093","916.8484396076","917.61","0.08299390725907983","44717","1357000","2102","1146.432904","1356.73","true","true"
"bonus1000rdmRad.txt","18","123456806","1000","20","5000","500","1500","936.7854929044","921.6816306945","921.6816306942","917.61","-0.4437212643933631","45384","1038946","1676","860.468518","1038.73","true","true"
"bonus1000rdmRad.txt","19","123456807","1000","20","5000","500","1500","936.7854929044","918.154344292","918.1543442913","917.61","-0.05932196590054983","41257","668269","1903","490.7921","668.107","true","true"
"bonus1000rdmRad.txt","20","123456808","1000","20","5000","500","1500","936.7854929044","917.7770861582","917.7770861582","917.61","-0.01820884234042089","40690","828786","2742","640.484857","828.591","true","true"
"bubbles1.txt","1","123456789","1000","20","5000","500","1500","349.3100214715","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2349","49261","77","1.444725","49.1825","true","true"
"bubbles1.txt","2","123456790","1000","20","5000","500","1500","349.3100214715","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2480","52059","80","1.49299","51.9823","true","true"
"bubbles1.txt","3","123456791","1000","20","5000","500","1500","349.3100214715","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","3202","78119","125","2.595035","77.9933","true","true"
"bubbles1.txt","4","123456792","1000","20","5000","500","1500","349.3100214715","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2251","48184","84","1.507468","48.116","true","true"
"bubbles1.txt","5","123456793","1000","20","5000","500","1500","349.3500405138","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2331","47370","67","1.457735","47.3053","true","true"
"bubbles1.txt","6","123456794","1000","20","5000","500","1500","349.3100214715","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2275","47127","82","1.547421","47.0669","true","true"
"bubbles1.txt","7","123456795","1000","20","5000","500","1500","349.3994808921","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2228","48697","74","1.444926","48.631","true","true"
"bubbles1.txt","8","123456796","1000","20","5000","500","1500","349.3100214715","349.1348891708","349.1348891708","349.135","3.1743938582073035E-05","2180","46497","80","1.410693","46.4326","true","true"
"bubbles1.txt","9","123456797","1000","20","5000","500","1500","349.3994808921","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2236","47142","77","1.66046","47.0826","true","true"
"bubbles1.txt","10","123456798","1000","20","5000","500","1500","349.3100214715","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2243","48067","83","1.508346","48.005","true","true"
"bubbles1.txt","11","123456799","1000","20","5000","500","1500","349.3994808921","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2362","47781","74","1.445284","47.7098","true","true"
"bubbles1.txt","12","123456800","1000","20","5000","500","1500","349.3994808921","349.1348891708","349.1348891708","349.135","3.1743938582073035E-05","2253","48833","67","1.521709","48.7637","true","true"
"bubbles1.txt","13","123456801","1000","20","5000","500","1500","349.3994808921","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2356","52532","83","1.543503","52.4581","true","true"
"bubbles1.txt","14","123456802","1000","20","5000","500","1500","349.3500405138","349.1348891708","349.1348891708","349.135","3.1743938582073035E-05","2315","51259","73","1.660716","51.1909","true","true"
"bubbles1.txt","15","123456803","1000","20","5000","500","1500","349.3994808921","349.1348891708","349.1348891708","349.135","3.1743938582073035E-05","2339","50355","90","1.694027","50.288","true","true"
"bubbles1.txt","16","123456804","1000","20","5000","500","1500","349.3994808921","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2299","49458","72","1.823003","49.3875","true","true"
"bubbles1.txt","17","123456805","1000","20","5000","500","1500","349.3500405138","349.1348891708","349.1348891708","349.135","3.1743938582073035E-05","2316","49039","74","1.771583","48.968","true","true"
"bubbles1.txt","18","123456806","1000","20","5000","500","1500","349.3100214715","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2247","47460","66","1.617104","47.3919","true","true"
"bubbles1.txt","19","123456807","1000","20","5000","500","1500","349.3994808921","349.1348891707","349.1348891707","349.135","3.174396723701087E-05","2121","46481","78","1.560391","46.4217","true","true"
"bubbles1.txt","20","123456808","1000","20","5000","500","1500","349.3100214715","349.1348891708","349.1348891708","349.135","3.1743938582073035E-05","2116","46217","67","1.677283","46.1509","true","true"
"bubbles2.txt","1","123456789","1000","20","5000","500","1500","428.5000950682","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4508","66737","85","1.649619","66.6609","true","true"
"bubbles2.txt","2","123456790","1000","20","5000","500","1500","428.4214275559","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","4512","73471","118","1.780333","73.3794","true","true"
"bubbles2.txt","3","123456791","1000","20","5000","500","1500","428.5139262266","428.2792562811","428.2792562811","428.279","-5.983975399389817E-05","5752","97475","133","2.446131","97.3755","true","true"
