instance,our_mean,our_sd,our_runs,lei_hao_mean,lei_hao_sd,lei_hao_runs,mean_difference,rounding_aware_mean_difference,reference_mean_for_test,reference_sd_for_test,welch_t,degrees_of_freedom,p_value,holm_adjusted_p_value,classification
bonus1000.txt,377.33668173205,0.3742828658355421,20,390.4,4.1,20,-13.063318267949967,-13.058318267949971,390.395,4.1049999999999995,-14.167438543740458,19.315883653588983,1.1669904188215742e-11,7.118641554811603e-10,significant_win
bonus1000rdmRad.txt,919.024119503095,1.7071515366268983,20,921.26,3.14,20,-2.235880496904997,-2.2308804969050016,921.255,3.145,-2.788013526316302,29.30219929909891,0.009218054590487468,0.44246662034339845,inconclusive
bubbles1.txt,349.13488917073,4.7037117890776245e-11,20,349.14,0.0,20,-0.005110829269995065,-0.00011082926999961273,349.135,0.005,-0.09912871264632486,19.000000000000007,0.9220744839199327,1.0,inconclusive
bubbles2.txt,428.279256281095,5.103543598774974e-11,20,428.28,0.0,20,-0.0007437189049710469,0.0,428.279256281095,0.005,0.0,19.000000000000007,1.0,1.0,inconclusive
bubbles3.txt,529.9922040323399,0.08343246939724931,20,529.96,0.0,20,0.0322040323399051,0.027204032339909645,529.965,0.005,1.4555753964827167,19.136473336060835,0.1617199197055318,1.0,inconclusive
bubbles4.txt,807.69498091338,1.8808336884231995,20,805.37,1.7,20,2.3249809133800454,2.31998091338005,805.375,1.7049999999999998,4.086982346663575,37.63971663354482,0.00022062574637863615,0.012134416050824989,significant_loss
bubbles5.txt,1038.760746883225,2.3644198219108388,20,1037.36,1.21,20,1.4007468832251107,1.3957468832250015,1037.365,1.2149999999999999,2.348081408416656,28.380233212313556,0.02606237711018796,1.0,inconclusive
bubbles6.txt,1229.064997155545,3.823877297091918,20,1227.15,3.83,20,1.9149971555448246,1.9099971555447155,1227.1550000000002,3.835,1.577237689640511,37.999679425817725,0.12303053303343525,1.0,inconclusive
bubbles7.txt,1638.59354703222,5.63833898493394,20,1586.78,9.35,20,51.81354703221996,51.80854703221985,1586.785,9.355,21.21209899568026,31.194634369986233,4.289067694933563e-20,2.659221970858809e-18,significant_loss
bubbles8.txt,1928.2921489851751,43.59194843134516,20,1895.74,7.97,20,32.55214898517511,32.547148985175,1895.7450000000001,7.975,3.284527051377417,20.270416691359294,0.0036574499543182617,0.18287249771591307,inconclusive
bubbles9.txt,2190.645387821145,59.96535492525635,20,2168.21,10.63,20,22.435387821145014,22.430387821144905,2168.215,10.635000000000002,1.6471246466157983,20.19406594613199,0.11500618977232378,1.0,inconclusive
chaoSingleDep.txt,1039.611003834305,0.0005037418170153661,20,1039.61,0.0,20,0.0010038343050382537,0.0,1039.611003834305,0.005,0.0,19.385669109261233,1.0,1.0,inconclusive
concentricCircles1.txt,53.1579961908,2.33959399793592e-10,20,53.16,0.0,20,-0.0020038091999978747,0.0,53.1579961908,0.005,0.0,19.00000000000008,1.0,1.0,inconclusive
concentricCircles2.txt,153.15867703782,0.01570704058017654,20,153.22,0.33,20,-0.06132296217998601,-0.056322962179990554,153.215,0.335,-0.7510672654431317,19.08353733478805,0.46177418489181854,1.0,inconclusive
concentricCircles3.txt,270.191643198855,0.1775567804450775,20,270.04,0.06,20,0.1516431988549698,0.14664319885497434,270.045,0.065,3.4684092398111708,24.002707465632636,0.0019917272947835357,0.10356981932874386,inconclusive
concentricCircles4.txt,452.986187104325,0.8306642415670253,20,453.09,0.91,20,-0.10381289567499152,-0.09881289567499607,453.085,0.915,-0.35758284351061376,37.6501324629433,0.7226523399703833,1.0,inconclusive
concentricCircles5.txt,633.690398781615,0.5136980838722498,20,633.43,0.55,20,0.2603987816150948,0.2553987816150993,633.435,0.555,1.5103225262079523,37.77499179007426,0.13928161971523378,1.0,inconclusive
d493_or10.txt,100.720339785795,5.5418809704380303e-05,20,101.12,0.72,20,-0.3996602142049994,-0.39466021420500397,101.11500000000001,0.725,-2.434447074203631,19.000000222035272,0.024947453467781253,1.0,inconclusive
d493_or2.txt,199.58972652674,0.4417064018879297,20,199.67,0.37,20,-0.0802734732599788,-0.07527347325998335,199.665,0.375,-0.5809813244001508,37.02504751485787,0.5647731339049096,1.0,inconclusive
d493_or30.txt,69.75762620115,5.129983310058058e-11,20,69.76,0.0,20,-0.0023737988500016627,0.0,69.75762620115,0.005,0.0,19.000000000000007,1.0,1.0,inconclusive
d493rdmRad.txt,134.226357708195,6.549228608780897e-10,20,134.23,0.0,20,-0.003642291804993647,0.0,134.226357708195,0.005,0.0,19.00000000000065,1.0,1.0,inconclusive
dsj1000_or10.txt,373.7872462977,0.04842064725729821,20,374.52,1.17,20,-0.7327537022999877,-0.7277537022999923,374.515,1.1749999999999998,-2.7675349296806733,19.06453091037844,0.012233575261015438,0.5749780372677256,inconclusive
dsj1000_or2.txt,915.51689128802,5.33650329279223,20,914.21,2.05,20,1.3068912880199832,1.3018912880199878,914.215,2.0549999999999997,1.0181394377479607,24.513750979517507,0.31855558170714326,1.0,inconclusive
dsj1000_or30.txt,199.947960010685,3.838075926340854e-09,20,199.95,0.0,20,-0.0020399893149942727,0.0,199.947960010685,0.005,0.0,19.00000000002239,1.0,1.0,inconclusive
dsj1000rdmRad.txt,624.60426902775,3.473148536789863e-08,20,625.0,0.42,20,-0.3957309722500213,-0.39073097225002584,624.995,0.425,-4.111534187603006,19.000000000000256,0.0005938980058376446,0.031476594309395166,significant_win
kroD100_or10.txt,89.66766118959,6.256758185826618e-10,20,89.68,0.06,20,-0.012338810410000178,-0.007338810410004726,89.67500000000001,0.065,-0.5049255061770359,19.000000000000004,0.6194174960468986,1.0,inconclusive
kroD100_or2.txt,159.03383411884,9.582868478225827e-10,20,159.11,0.14,20,-0.07616588116002276,-0.07116588116002731,159.10500000000002,0.14500000000000002,-2.1949206614136916,19.0,0.040796577014693275,1.0,inconclusive
kroD100_or30.txt,58.541123136305,2.2361078830593356e-11,20,58.54,0.0,20,0.0011231363050043797,0.0,58.541123136305,0.005,0.0,19.0,1.0,1.0,inconclusive
kroD100rdmRad.txt,141.82887330297,1.8284585566112473e-09,20,141.88,0.24,20,-0.051126697029985735,-0.04612669702999028,141.875,0.245,-0.8419790215232321,19.0,0.4102729918674104,1.0,inconclusive
lin318_or10.txt,1394.6627364159149,0.10187636487326329,20,1399.96,5.55,20,-5.297263584085158,-5.292263584085049,1399.955,5.555,-4.259899740498776,19.012780925439532,0.00042279235711614564,0.022830787284271865,significant_win
lin318_or2.txt,2818.46681885661,0.9357553343147187,20,2826.16,5.76,20,-7.6931811433896655,-7.688181143389556,2826.1549999999997,5.765,-5.886975810262264,20.000479596912616,9.28934947685812e-06,0.000538782269657771,significant_win
lin318_or30.txt,765.963924954315,4.0817275205042703e-10,20,765.96,0.0,20,0.003924954314925344,0.0,765.963924954315,0.005,0.0,19.00000000000025,1.0,1.0,inconclusive
lin318rdmRad.txt,2047.10649183379,0.00010022494716634727,20,2047.11,0.0,20,-0.0035081662099401,0.0,2047.10649183379,0.005,0.0,19.01526845838743,1.0,1.0,inconclusive
pcb442_or10.txt,142.68505303077,0.047721407043164854,20,144.3,2.07,20,-1.6149469692300045,-1.609946969230009,144.29500000000002,2.0749999999999997,-3.4689148888957777,19.020098967749643,0.002567179873164041,0.13092617353136607,inconclusive
pcb442_or2.txt,319.971969482805,0.20774976262318923,20,321.05,0.97,20,-1.0780305171950317,-1.0730305171950363,321.045,0.975,-4.8137203946044345,20.721714522612537,9.639278203880911e-05,0.005494388576212119,significant_win
pcb442_or30.txt,83.53722951701,3.077989986034835e-11,20,83.54,0.0,20,-0.0027704829900017103,0.0,83.53722951701,0.005,0.0,19.0,1.0,1.0,inconclusive
pcb442rdmRad.txt,219.301043278115,0.17080528362545783,20,219.58,0.36,20,-0.27895672188500953,-0.2739567218850141,219.57500000000002,0.365,-3.040217737468545,26.940682694143643,0.005212540412985577,0.25541448023629326,inconclusive
rat195_or10.txt,67.991127681465,0.0005294804657905655,20,67.99,0.0,20,0.001127681465007413,0.0,67.991127681465,0.005,0.0,19.426077756025343,1.0,1.0,inconclusive
