"instance","runs_completed","best_run","best_seed","generated_best","ma_cetsp","best_final","mean_final","lei_hao","published_precision","comparison_at_published_precision","improvement_vs_lei_hao_percent","final_valid","best_tour"
"rotatingDiamonds5.txt","20","13","123456801","1538.1724086821","1510.7489448114","1510.7489448114","1510.7901831510549","1510.75","2","tie","6.984534834012879E-05","true","results/mennell_hybrid/tours/rotatingDiamonds5.result"
"team1_100.txt","20","5","123456793","308.1962909343","307.3368694656","307.3368694656","307.3368694657951","307.337","3","tie","4.247272537970212E-05","true","results/mennell_hybrid/tours/team1_100.result"
"team1_100rdmRad.txt","20","8","123456796","399.2782010013","388.53687565","388.53687565","388.53687565013513","388.537","3","tie","3.200467393442045E-05","true","results/mennell_hybrid/tours/team1_100rdmRad.result"
"team2_200.txt","20","4","123456792","247.2599214026","246.6829835083","246.6829835083","246.68298351935496","246.683","3","tie","6.685381641604105E-06","true","results/mennell_hybrid/tours/team2_200.result"
"team2_200rdmRad.txt","20","19","123456807","624.0880692995","613.6594811857","613.6594811857","614.4726736819699","613.659","3","tie","-7.841255485248875E-05","true","results/mennell_hybrid/tours/team2_200rdmRad.result"
"team3_300.txt","20","9","123456797","462.9485011259","461.8885926673","461.888592664","461.90457876711497","461.889","3","tie","8.818915367618758E-05","true","results/mennell_hybrid/tours/team3_300.result"
"team3_300rdmRad.txt","20","1","123456789","379.1259041389","378.0871423215","378.0871423215","378.0871423217501","378.087","3","tie","-3.76425267182312E-05","true","results/mennell_hybrid/tours/team3_300rdmRad.result"
"team4_400.txt","20","2","123456790","675.0851538841","668.886564133","668.8485747089","673.8202424619051","669.91","2","improvement","0.1584429686226541","true","results/mennell_hybrid/tours/team4_400.result"
"team4_400rdmRad.txt","20","16","123456804","1005.9476788089","984.3209856342","984.3209856342","985.14500134433","984.24","2","loss","-0.008228240490127714","true","results/mennell_hybrid/tours/team4_400rdmRad.result"
"team5_499.txt","20","11","123456799","705.257650263","694.2729578111","694.2729578065","695.493953506285","693.798","3","loss","-0.06845764999322787","true","results/mennell_hybrid/tours/team5_499.result"
"team5_499rdmRad.txt","20","20","123456808","446.5160087919","446.1911866698","446.1911866698","446.191186670175","446.191","3","tie","-4.183629881147398E-05","true","results/mennell_hybrid/tours/team5_499rdmRad.result"
"team6_500.txt","20","18","123456806","225.3872667255","225.2160045839","225.2160045838","225.21600458476001","225.216","3","tie","-2.035290555648207E-06","true","results/mennell_hybrid/tours/team6_500.result"
"team6_500rdmRad.txt","20","4","123456792","625.8802946606","620.8858587199","620.8858587186","621.00372223005","620.886","3","tie","2.2754805216985895E-05","true","results/mennell_hybrid/tours/team6_500rdmRad.result"
