"instance","repetitions","lei_hao","historical_cetsp","current_base","after_lkh","after_socp","final","postprocess_improvement_percent","final_gap_to_lei_hao_percent","solver_ms","lkh_ms","socp_ms","valid"
"bonus1000.txt","10000","384.365","378.6217","379.1333853343","379.1333853343","379.1333853343","379.1333853343","0","-1.3611058930183606","33276","38","1004","true"
"bonus1000rdmRad.txt","1000","917.61","937.2473","934.5542623974","934.5542623974","934.5542623974","934.5542623974","0","1.846564705855422","3153","86","1840","true"
"bubbles1.txt","1000","349.135","349.2548","349.32646186","349.32646186","349.32646186","349.32646186","0","0.05483891904277829","149","43","63","true"
"bubbles2.txt","1000","428.279","428.3678","428.4917124108","428.4917124108","428.4917124108","428.4917124108","0","0.049666785156407135","297","45","67","true"
"bubbles3.txt","1000","529.955","531.2427","531.1488000973","531.1488000973","531.1327156206","531.1327156206","0.003028243064273084","0.222229362983649","546","40","103","true"
"bubbles4.txt","1000","802.974","809.2157","809.7188177539","809.7188177539","809.7188177539","809.7188177539","0","0.8399795950927367","976","43","126","true"
"bubbles5.txt","1000","1035.32","1055.4878","1056.3768186924","1056.3768186924","1056.3768186924","1056.3768186924","0","2.0338464139010313","1437","40","148","true"
"bubbles6.txt","1000","1220.07","1301.4589","1291.5111703549","1291.5111703549","1291.5111703549","1291.5111703549","0","5.855497664470081","2241","44","172","true"
"bubbles7.txt","1000","1575.04","1647.8371","1639.2158077385","1639.2158077385","1639.2158077385","1639.2158077385","0","4.074550978927519","2690","45","198","true"
"bubbles8.txt","1000","1881.93","1995.2337","1982.4707804726","1982.4707804726","1982.4707804726","1982.4707804726","0","5.342429339699132","3304","45","327","true"
"bubbles9.txt","1000","2148.4","2331.4308","2338.7646282534","2338.7646282534","2338.7646282534","2338.7646282534","0","8.860762812018248","4856","57","353","true"
"chaoSingleDep.txt","1000","1039.61","1042.8638","1042.5337624298","1042.5337624298","1042.5337624298","1042.5337624298","0","0.2812364665403407","917","49","141","true"
"concentricCircles1.txt","1000","53.158","53.2013","53.1913082758","53.1913082758","53.1913082758","53.1913082758","0","0.06265900861581712","56","41","63","true"
"concentricCircles2.txt","1000","153.132","153.8702","153.9346343983","153.9346343983","153.9346343983","153.9346343983","0","0.5241454420369357","171","41","68","true"
"concentricCircles3.txt","1000","270.007","271.7441","271.8878525037","271.8878525037","271.8878525037","271.8878525037","0","0.696593978563518","285","41","76","true"
"concentricCircles4.txt","1000","451.87","460.0793","460.6572427455","460.6572427455","460.6572427455","460.6572427455","0","1.9446395524155198","605","43","100","true"
"concentricCircles5.txt","1000","632.977","639.0799","639.0377094057","639.0377094057","639.0377094057","639.0377094057","0","0.9574928323935912","1056","50","138","true"
"d493_or10.txt","1000","100.721","100.9585","100.9566484206","100.9566484206","100.9566484206","100.9566484206","0","0.23396155776848965","1784","38","677","true"
"d493_or2.txt","1000","199.015","200.7983","200.6155408733","200.6155408733","200.6155408733","200.6155408733","0","0.8042312756827473","3104","56","284","true"
"d493_or30.txt","1000","69.7577","69.758","69.7591947856","69.7591947856","69.7591947856","69.7591947856","0","0.0021428252365001234","2394","39","802","true"
"d493rdmRad.txt","1000","134.226","134.6215","134.6495614867","134.6495614867","134.6495614867","134.6495614867","0","0.3155584511942615","464","43","651","true"
"dsj1000_or10.txt","1000","373.759","376.4451","376.4712580692","376.4712580692","376.4712580692","376.4712580692","0","0.7256703033773111","2960","45","2175","true"
"dsj1000_or2.txt","1000","909.502","922.4404","924.4587780147","924.4587780147","924.2965472103","924.2965472103","0.017548733189422624","1.6266646153939233","6239","97","1251","true"
"dsj1000_or30.txt","1000","199.948","200.0374","200.4446517399","200.4446517399","200.4446517399","200.4446517399","0","0.24839045146737568","2721","39","1954","true"
"dsj1000rdmRad.txt","1000","624.604","626.148","626.1015963325","626.1015963325","626.1015963325","626.1015963325","0","0.23976732978013882","1056","48","1384","true"
